name,psnr,ssim
1400_1.png,29.763383865356445,0.9950640797615051
1400_10.png,29.921491622924805,0.9951772689819336
1400_2.png,30.082481384277344,0.9953984022140503
1400_3.png,30.255136489868164,0.9955673217773438
1400_4.png,30.339405059814453,0.9956473708152771
1400_5.png,30.366928100585938,0.9956709146499634
1400_6.png,30.36376190185547,0.9956656098365784
1400_7.png,30.32464027404785,0.9956233501434326
1400_8.png,30.258346557617188,0.9955511093139648
1400_9.png,30.13684844970703,0.9954196810722351
1401_1.png,31.49654769897461,0.9964998960494995
1401_10.png,31.950111389160156,0.9967386722564697
1401_2.png,31.777240753173828,0.9966983199119568
1401_3.png,31.95880126953125,0.9968162178993225
1401_4.png,32.07967758178711,0.9968891143798828
1401_5.png,32.15306091308594,0.9969285726547241
1401_6.png,32.194332122802734,0.9969476461410522
1401_7.png,32.19728088378906,0.9969416856765747
1401_8.png,32.16779708862305,0.9969127774238586
1401_9.png,32.091773986816406,0.9968507885932922
1402_1.png,32.229248046875,0.9976802468299866
1402_10.png,32.22211456298828,0.9976581931114197
1402_2.png,32.514644622802734,0.9978259801864624
1402_3.png,32.68811798095703,0.9979091882705688
1402_4.png,32.77729797363281,0.9979498982429504
1402_5.png,32.820858001708984,0.9979687333106995
1402_6.png,32.81903839111328,0.9979661107063293
1402_7.png,32.76976776123047,0.9979413747787476
1402_8.png,32.681949615478516,0.9978973269462585
1402_9.png,32.50318908691406,0.9978068470954895
1403_1.png,31.003225326538086,0.9931772351264954
1403_10.png,31.210784912109375,0.9934145212173462
1403_2.png,31.252418518066406,0.9935505390167236
1403_3.png,31.406906127929688,0.9937698841094971
1403_4.png,31.501201629638672,0.9938977956771851
1403_5.png,31.560626983642578,0.993972897529602
1403_6.png,31.58746910095215,0.9940011501312256
1403_7.png,31.57691764831543,0.9939770698547363
1403_8.png,31.514820098876953,0.9938808083534241
1403_9.png,31.40448760986328,0.9937132596969604
1404_1.png,29.898269653320312,0.9959546327590942
1404_10.png,29.845020294189453,0.9958628416061401
1404_2.png,30.161746978759766,0.9961809515953064
1404_3.png,30.300983428955078,0.9962959289550781
1404_4.png,30.363746643066406,0.996346116065979
1404_5.png,30.382593154907227,0.996359646320343
1404_6.png,30.376195907592773,0.9963518977165222
1404_7.png,30.336318969726562,0.9963153004646301
1404_8.png,30.241168975830078,0.99623042345047
1404_9.png,30.08502769470215,0.9960890412330627
1405_1.png,29.528976440429688,0.9949890375137329
1405_10.png,29.627361297607422,0.9950155019760132
1405_2.png,29.789600372314453,0.9952511787414551
1405_3.png,29.933870315551758,0.9953914284706116
1405_4.png,30.020160675048828,0.9954747557640076
1405_5.png,30.06191635131836,0.9955127835273743
1405_6.png,30.05967903137207,0.9955058097839355
1405_7.png,30.028345108032227,0.9954695105552673
1405_8.png,29.949954986572266,0.9953832030296326
1405_9.png,29.81301498413086,0.9952295422554016
1406_1.png,29.34619140625,0.9946005344390869
1406_10.png,29.33811378479004,0.9945582747459412
1406_2.png,29.54023551940918,0.9948275089263916
1406_3.png,29.654071807861328,0.9949583411216736
1406_4.png,29.70747184753418,0.9950189590454102
1406_5.png,29.72083282470703,0.995033860206604
1406_6.png,29.702966690063477,0.9950127601623535
1406_7.png,29.66636848449707,0.9949682950973511
1406_8.png,29.59596824645996,0.9948832392692566
1406_9.png,29.492809295654297,0.9947558641433716
1407_1.png,29.14293670654297,0.99241703748703
1407_10.png,29.614673614501953,0.9930355548858643
1407_2.png,29.44582748413086,0.9928826689720154
1407_3.png,29.6584529876709,0.9931935667991638
1407_4.png,29.783926010131836,0.9933704733848572
1407_5.png,29.883020401000977,0.9935054779052734
1407_6.png,29.92959213256836,0.9935633540153503
